"ID","level","category","prob"
"G38","Region","Performance",0.59905
"G39","Region","Performance",0.26395
"G01","Region","Stability",0.2321
"G02","Region","Stability",0.1691
"G03","Region","Stability",0.21405
"G04","Region","Stability",0.22085
"G05","Region","Stability",0.1853
"G06","Region","Stability",0.18395
"G07","Region","Stability",0.23015
"G08","Region","Stability",0.19785
"G09","Region","Stability",0.19945
"G10","Region","Stability",0.1784
"G11","Region","Stability",0.1689
"G12","Region","Stability",0.1663
"G13","Region","Stability",0.20305
"G14","Region","Stability",0.2276
"G15","Region","Stability",0.23735
"G16","Region","Stability",0.2325
"G17","Region","Stability",0.1488
"G18","Region","Stability",0.1699
"G19","Region","Stability",0.20695
"G20","Region","Stability",0.2176
"G21","Region","Stability",0.2045
"G22","Region","Stability",0.21565
"G23","Region","Stability",0.23175
"G24","Region","Stability",0.20035
"G25","Region","Stability",0.2117
"G26","Region","Stability",0.20345
"G27","Region","Stability",0.22915
"G28","Region","Stability",0.2101
"G29","Region","Stability",0.1808
"G30","Region","Stability",0.2067
"G31","Region","Stability",0.20065
"G32","Region","Stability",0.23725
"G33","Region","Stability",0.17735
"G34","Region","Stability",0.2369
"G35","Region","Stability",0.22875
"G36","Region","Stability",0.2163
"G37","Region","Stability",0.18885
"G38","Region","Stability",0.2163
"G39","Region","Stability",0.21335
